,strategy,benchmark
2023-12-26 00:00:00+00:00,547027.1354877327,206304.31708640404
2023-12-27 00:00:00+00:00,548811.1798950449,206677.33617247455
2023-12-28 00:00:00+00:00,549866.6771115791,206755.41437421602
2023-12-29 00:00:00+00:00,546290.0910619581,206156.87391570362
2024-01-02 00:00:00+00:00,537438.5433462979,205003.16826234275
2024-01-03 00:00:00+00:00,534631.4798263462,203328.9594450148
2024-01-04 00:00:00+00:00,530021.2368289072,202674.02159872686
2024-01-05 00:00:00+00:00,533158.6599341051,202951.6041961511
2024-01-08 00:00:00+00:00,539647.7314282903,205848.91090726297
2024-01-09 00:00:00+00:00,538145.2632724048,205536.63900749324
2024-01-10 00:00:00+00:00,548509.2172018464,206699.0442579046
2024-01-11 00:00:00+00:00,548250.3761166306,206607.97120351563
2024-01-12 00:00:00+00:00,551061.1521537785,206751.07821142284
2024-01-16 00:00:00+00:00,547300.0568635669,205992.0724580984
2024-01-17 00:00:00+00:00,546416.9176624711,204847.0118588598
2024-01-18 00:00:00+00:00,552729.7600383693,206668.65021115614
2024-01-19 00:00:00+00:00,561727.6560490077,209245.02633264396
2024-01-22 00:00:00+00:00,559916.5495847868,209687.45129486956
2024-01-23 00:00:00+00:00,561025.7509307741,210299.0138774936
2024-01-24 00:00:00+00:00,570030.4539058742,210528.8850484607
2024-01-25 00:00:00+00:00,574728.0907583011,211673.93201196726
2024-01-26 00:00:00+00:00,572627.9291650656,211405.00810439733
2024-01-29 00:00:00+00:00,581889.5330412433,213079.2169217253
2024-01-30 00:00:00+00:00,581857.619986644,212914.4154641201
2024-01-31 00:00:00+00:00,567977.0156078204,209440.22183699763
2024-02-01 00:00:00+00:00,577826.723749454,212181.3994160907
2024-02-02 00:00:00+00:00,629942.0009106231,214415.10959106032
2024-02-05 00:00:00+00:00,631899.5022529456,213634.4093880379
2024-02-06 00:00:00+00:00,624922.3398622085,214254.64429624827
2024-02-07 00:00:00+00:00,639119.1135921766,216041.6206176632
2024-02-08 00:00:00+00:00,637030.3334209683,216137.04347057742
2024-02-09 00:00:00+00:00,649609.6726396038,217386.18561258458
